Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2688,Super Luxury (Non AC Seater 2+2 Push Back),20:00,06h 45m,02:45,3.4,INR 469,31 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4972,Super Luxury (Non AC Seater 2+2 Push Back),20:10,07h 10m,03:20,3.8,INR 436,29 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2549,NIGHT RIDER (SEATER CUM SLEEPER),20:15,06h 00m,02:15,3.2,INR 595,35 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4894,Super Luxury (Non AC Seater 2+2 Push Back),20:25,06h 35m,03:00,3.9,INR 436,28 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 24262,Super Luxury (Non AC Seater 2+2 Push Back),20:30,05h 30m,02:00,3.9,INR 469,25 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4898,Super Luxury (Non AC Seater 2+2 Push Back),20:35,06h 25m,03:00,3.9,INR 469,34 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4974,Super Luxury (Non AC Seater 2+2 Push Back),20:35,07h 10m,03:45,4.6,INR 469,28 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2786,Super Luxury (Non AC Seater 2+2 Push Back),20:40,07h 05m,03:45,3.9,INR 436,28 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4880,Super Luxury (Non AC Seater 2+2 Push Back),20:40,06h 35m,03:15,3.9,INR 469,24 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3861,INDRA(A.C. Seater),20:40,06h 00m,02:40,4.1,INR 528,35 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 2678,NIGHT RIDER (SEATER CUM SLEEPER),20:40,06h 20m,03:00,4.7,INR 595,28 Seats available
